"","pre2_gs","tmp2_gs","vpd2_gs","par2_gs","alpha","site_code"
"site_gs_climate",48.3180952380952,12.522380952381,0.742077647246007,978.212585449219,0.688570975263913,"bldr.us"
"site_gs_climate.1",38.1177777777778,11.8911111111111,0.647123362155277,952.036189778646,0.795149784286817,"bnch.us"
"site_gs_climate.2",72.8966666666667,15.8326666666667,1.27545135741148,1175.81274698893,0.845719613631566,"bogong.au"
"site_gs_climate.3",59.7685185185185,20.0944444444444,1.05621343286312,977.789721340603,0.64030470367935,"burrawan.au"
"site_gs_climate.4",81.0819047619048,13.8552380952381,0.507376245942409,767.44709370931,1.11131173684483,"cbgb.us"
"site_gs_climate.5",60.6588888888889,15.4862962962963,0.553772040588729,769.643552879051,0.964597261338322,"comp.pt"
"site_gs_climate.6",83.0353333333333,14.836,0.515375714972703,922.099378662109,1.1477646535635,"cowi.ca"
"site_gs_climate.7",35.3242857142857,15.6052380952381,0.544801341828262,835.728778221493,0.680675819516182,"elliot.us"
"site_gs_climate.8",120.509523809524,13.3342857142857,0.414655866493805,750.12979002453,1.23385133175623,"frue.ch"
"site_gs_climate.9",46.5933333333333,14.1838095238095,0.58427691502756,856.689207821801,0.671817007589908,"gilb.za"
"site_gs_climate.10",126.801904761905,10.3933333333333,0.377074470658855,726.452509562174,1.12402439060665,"hopl.us"
"site_gs_climate.11",53.8555555555556,11.1003703703704,0.376391141727152,658.142107758699,1.09568430273621,"jena.de"
"site_gs_climate.12",38.2442857142857,13.4190476190476,0.584807196996931,787.461012776693,0.797140853745597,"kiny.au"
"site_gs_climate.13",89.9127777777778,19.6405555555556,0.835868946059194,907.20930396186,1.04047380685806,"konz.us"
"site_gs_climate.14",93.067619047619,12.3833333333333,0.288152674059329,701.643882969448,1.22569765590486,"lancaster.uk"
"site_gs_climate.15",60.0185714285714,12.9290476190476,0.604906610265797,928.629407755534,0.909487771916957,"look.us"
"site_gs_climate.16",100.968095238095,11.5685714285714,0.441788683711216,774.376916649228,1.05080932463918,"mcla.us"
"site_gs_climate.17",17.1383333333333,18.2775,1.14739377314524,1183.04927164714,0.349710297212005,"mtca.au"
"site_gs_climate.18",20.338,14.7626666666667,1.11512329181163,1231.13893066406,0.55906741887331,"sage.us"
"site_gs_climate.19",60.5616666666667,18.6694444444444,0.839505729187594,934.029315355089,0.760463743739658,"saline.us"
"site_gs_climate.20",47.5388888888889,16.5244444444444,0.916410570778865,996.915688069661,0.585556198904912,"sgs.us"
"site_gs_climate.21",35.0366666666667,10.9066666666667,0.733016835838443,881.155386352539,0.71387613486676,"shps.us"
"site_gs_climate.22",117.540952380952,12.2457142857143,0.554086632510121,785.956532796224,1.08061431504431,"sier.us"
"site_gs_climate.23",168.021333333333,9.73066666666667,0.36657734013212,605.248851420085,1.17186310638984,"smith.us"
"site_gs_climate.24",50.75,17.0613333333333,0.567202596808724,803.331876220703,0.693777526021004,"summ.za"
"site_gs_climate.25",98.3557142857143,19.83,0.646438746097771,885.387941632952,1.11083015984013,"unc.us"
"site_gs_climate.26",194.435,4.21666666666667,0.158068291464063,792.410514322917,1.23531729777654,"valm.ch"
