"","Var","Slope","Slope_SE","Intercept","Intercept_SE","p"
"1","delta LMA = -25",0.0078463515496169,0.0206692759649699,-2.84097863741583,3.04807844338191,0.704498562868743
"2","delta LMA = 0",-0.0177394401651493,0.0147208175396635,20.1077204046856,2.61693772152194,0.229173896884155
"3","delta LMA = 25",-0.0433252318799155,0.025237460208799,43.0564194467871,3.73483910222085,0.0871668983188227
