,site_code,year,precip,PET,SPEI_12,SPEI_6,SPEI_24,SPEI_12.class,SPEI_6.class,SPEI_24.class,precip.mean,PET.mean
520,bnch.us,1966,653,785.8000102488,-1.10399574118429,-1.22450521063262,0.115203226236795,-1,-1,0,864.19268295122,803.492697122832
521,bnch.us,1967,837,813.9000001091,-0.184095657780939,-0.875412701362198,-0.985827018442443,0,-1,-1,864.19268295122,803.492697122832
522,bnch.us,1968,694.3,791.4000148446,-0.901627291826958,-0.041033213226501,-0.820097446292369,-1,0,-1,864.19268295122,803.492697122832
523,bnch.us,1969,878.1,795.7999981047,0.17207740251436,-0.091713697655026,-0.541878334980412,0,0,0,864.19268295122,803.492697122832
524,bnch.us,1970,857.6,816.000016495,-0.072011029666042,-1.30385976560628,0.103056898489131,0,-2,0,864.19268295122,803.492697122832
525,bnch.us,1971,979.2,795.6000175226,0.745357402362509,0.128138496550713,0.539777178158945,1,0,0,864.19268295122,803.492697122832
526,bnch.us,1972,1005.5,835.7000159366,0.671128968071593,0.105254443629161,1.02541998063742,1,0,1,864.19268295122,803.492697122832
527,bnch.us,1973,582.9,861.5000262276,-1.85603132869104,-1.98239030481972,-0.981676087534311,-2,-2,-1,864.19268295122,803.492697122832
528,bnch.us,1974,1204.2,785.000016033,1.79829726334364,0.683894650878562,0.177795594872361,2,1,0,864.19268295122,803.492697122832
529,bnch.us,1975,890.5,800.4000225296,0.218224663297556,1.18449687341452,1.51414379676564,0,1,2,864.19268295122,803.492697122832
530,bnch.us,1976,893.8,782.3000116327,0.343415035772632,0.423294501516973,0.441862119794149,0,0,0,864.19268295122,803.492697122832
531,bnch.us,1977,427,827.5000143922,-2.40237362149553,-0.095262586370705,-1.77592335251903,-2,0,-2,864.19268295122,803.492697122832
532,bnch.us,1978,1089.3,752.5000087959,1.47378722542294,1.2976918733215,-0.771926712612655,2,2,-1,864.19268295122,803.492697122832
533,bnch.us,1979,746.000001,796.1000199661,-0.625949867870308,-0.053964388990763,0.782655361110541,0,0,1,864.19268295122,803.492697122832
534,bnch.us,1980,857.4,743.6000149798,0.356732984268213,0.88340660434665,-0.173012860072739,0,1,0,864.19268295122,803.492697122832
535,bnch.us,1981,865.9,749.2000127127,0.373484402650745,0.75777548307193,0.561415863223073,0,1,0,864.19268295122,803.492697122832
536,bnch.us,1982,1191.6,781.9000177269,1.7629596939472,0.263278592716918,1.5617609109679,2,0,2,864.19268295122,803.492697122832
537,bnch.us,1983,1198.2,706.1999952455,2.05328760268976,2.1506246654868,2.3942590195651,2,2,2,864.19268295122,803.492697122832
538,bnch.us,1984,1058.5,789.9000167857,1.17108196230274,1.22050696172976,2.12144117136576,1,1,2,864.19268295122,803.492697122832
539,bnch.us,1985,739,861.7000102964,-1.0474317162538,-1.65665869766867,0.201313913760587,-1,-2,0,864.19268295122,803.492697122832
540,bnch.us,1986,879.8,804.3000194707,0.131650176949723,-1.04857192267063,-0.694506037790953,0,-1,-1,864.19268295122,803.492697122832
541,bnch.us,1987,787.6,815.5000098048,-0.492948754780239,-0.51877397406194,-0.248167106780309,0,0,0,864.19268295122,803.492697122832
542,bnch.us,1988,732.7,856.7000118248,-1.054743563095,-0.12489802774703,-1.17861771445245,-1,0,-1,864.19268295122,803.492697122832
543,bnch.us,1989,902.6,784.3000162833,0.382706717074992,1.49201461117807,-0.498946063384415,0,2,0,864.19268295122,803.492697122832
544,bnch.us,1990,703.8,806.7999996973,-0.935529520088448,0.286525265400299,-0.399916596019293,-1,0,0,864.19268295122,803.492697122832
545,bnch.us,1991,764.1,772.9999974663,-0.37820341280233,1.66658283749854,-0.995967590142901,0,2,-1,864.19268295122,803.492697122832
546,bnch.us,1992,695.5,908.7000147576,-1.53352690578266,-1.17567802545594,-1.49022217062892,-2,-1,-2,864.19268295122,803.492697122832
547,bnch.us,1993,1075.8,723.4000144359,1.53848843012334,2.26889445502471,0.171566638701838,2,2,0,864.19268295122,803.492697122832
548,bnch.us,1994,521.2,855.6000224155,-2.11406257596366,-1.41423760554081,-0.38719747844519,-2,-2,0,864.19268295122,803.492697122832
549,bnch.us,1995,995.8,779.6000154336,0.915118345192765,1.21414810485593,-1.0249552568274,1,1,-1,864.19268295122,803.492697122832
550,bnch.us,1996,1090.8,808.1000249112,1.23641871806734,-0.022267533642898,1.48465281530662,1,0,2,864.19268295122,803.492697122832
551,bnch.us,1997,1248.5,749.1000209168,2.07775645887556,1.17155068873955,2.16562632306025,2,1,2,864.19268295122,803.492697122832
552,bnch.us,1998,833.2,703.2000214918,0.449700294611566,0.9034716271389,1.82745900451218,0,1,2,864.19268295122,803.492697122832
553,bnch.us,1999,1105,730.2000057378,1.62863637969201,0.239908485045986,1.50143326606004,2,0,2,864.19268295122,803.492697122832
554,bnch.us,2000,788.7,864.9000218338,-0.78019468058975,-1.49104993836791,0.827543848180721,-1,-2,1,864.19268295122,803.492697122832
555,bnch.us,2001,570.8,896.1000184993,-2.07296397158315,-1.07023921487803,-2.23407196654883,-2,-1,-2,864.19268295122,803.492697122832
556,bnch.us,2002,806.8,894.9000231898,-0.849584445578822,-1.44223554222829,-2.28117038356424,-1,-2,-2,864.19268295122,803.492697122832
557,bnch.us,2003,746.5,877.2000122693,-1.09228116653621,-0.2600922239333,-1.47584545814845,-1,0,-2,864.19268295122,803.492697122832
558,bnch.us,2004,860.8,810.3000200971,-0.018266908886276,-0.318037031276809,-0.849024770626823,0,0,-1,864.19268295122,803.492697122832
559,bnch.us,2005,703,831.2000127879,-1.07830343356286,0.115564429331971,-0.837367142373709,-1,0,-1,864.19268295122,803.492697122832
560,bnch.us,2006,1002.5,834.5000213721,0.661346333575133,-0.339831036200937,-0.284712899073295,0,0,0,864.19268295122,803.492697122832
561,bnch.us,2007,831.5,792.3000212039,-0.086527932291463,-0.788904415904733,0.465323631114074,0,-1,0,864.19268295122,803.492697122832
562,bnch.us,2008,861.2,783.1000134357,0.147128059506427,-0.472389374945992,0.073268327335388,0,0,0,864.19268295122,803.492697122832
563,bnch.us,2009,727.4,834.6000031285,-0.959556558071272,0.105254571015764,-0.609308745690538,-1,0,0,864.19268295122,803.492697122832
564,bnch.us,2010,803.2,761.3000111256,-0.07019703843032,1.04815872883561,-0.7794182692802,0,1,-1,864.19268295122,803.492697122832
565,bnch.us,2011,1122.9,708.9000016635,1.77901758346626,1.82831703261581,1.35826612231614,2,2,2,864.19268295122,803.492697122832
566,bnch.us,2012,884.4,792.3000221606,0.230015870027627,1.65892132454127,1.50511300808526,0,2,2,864.19268295122,803.492697122832
567,bnch.us,2013,785.6,813.2000209035,-0.491142568623736,-0.709511406677127,-0.169289782327855,0,-1,0,864.19268295122,803.492697122832
568,bnch.us,2014,789.2,819.8000112162,-0.50919557714079,0.511772826374389,-0.746151652310871,0,0,-1,864.19268295122,803.492697122832
569,bnch.us,2015,745.4,886.0000226808,-1.14729170504068,-1.81963051440774,-1.26547475832433,-1,-2,-1,864.19268295122,803.492697122832
570,bnch.us,2016,998.9,853.2000072872,0.538293881218175,-0.718067407083742,-0.4479999071781,0,-1,0,864.19268295122,803.492697122832
571,bogong.au,1903,705.3,1185.5000224114,-1.79297562099197,-1.53840709649422,-2.04697672099969,-2,-2,-2,1080.10000004878,1079.74635839082
572,bogong.au,1904,1139.7,1088.50002253,0.100879607409114,0.082312543805836,-1.33153638857114,0,0,-2,1080.10000004878,1079.74635839082
573,bogong.au,1905,1039.6,1152.700020308,-0.553374596981696,-0.701258866550556,-0.306315187520679,0,-1,0,1080.10000004878,1079.74635839082
574,bogong.au,1906,1068.7,1107.9000130913,-0.262123081865828,-1.04915299792791,-0.569948736173574,0,-1,0,1080.10000004878,1079.74635839082
575,bogong.au,1907,1298,1096.800011873,0.687847310104849,0.660687269762063,0.341096843409331,1,0,0,1080.10000004878,1079.74635839082
576,bogong.au,1908,827.6,1150.3000348852,-1.30861739903433,-1.09397683690194,-0.480534275779994,-2,-1,0,1080.10000004878,1079.74635839082
577,bogong.au,1909,904.2,1078.4000248337,-0.785976800577584,-0.622053922541687,-1.50364351539787,-1,0,-2,1080.10000004878,1079.74635839082
578,bogong.au,1910,1201.8,1016.2000104777,0.628875033791604,-0.680818473148446,-0.091539309137177,0,-1,0,1080.10000004878,1079.74635839082
579,bogong.au,1911,1075.9,1056.8000063307,-0.028172434577671,0.765892312143765,0.459449953009313,0,1,0,1080.10000004878,1079.74635839082
580,bogong.au,1912,978.8,1050.7000312828,-0.392049032368985,-1.39699820955249,-0.279638585991778,0,-2,0,1080.10000004878,1079.74635839082
581,bogong.au,1913,1101.5,1072.3000175976,0.01245919733706,0.612281127445841,-0.250023197625011,0,0,0,1080.10000004878,1079.74635839082
582,bogong.au,1914,975.2,1085.8000073422,-0.543676615962911,-0.82829516309739,-0.363434839408064,0,-1,0,1080.10000004878,1079.74635839082
583,bogong.au,1915,649.3,1143.0000269398,-1.83140770177433,-1.79302459972646,-1.76349476659518,-2,-2,-2,1080.10000004878,1079.74635839082
584,bogong.au,1916,1100.6,1082.5000245588,-0.032195682759035,0.028647817351898,-1.4503202050405,0,0,-2,1080.10000004878,1079.74635839082
585,bogong.au,1917,1469.2,1029.7000151917,1.50081116358402,1.81852434223531,1.10066641687834,2,2,1,1080.10000004878,1079.74635839082
586,bogong.au,1918,1756,1004.9000171458,2.33086090790563,2.06459506241306,2.40760701939562,2,2,2,1080.10000004878,1079.74635839082
587,bogong.au,1919,1066.3,1089.9000133309,-0.199722587435507,-1.32880230493795,1.66431453751182,0,-2,2,1080.10000004878,1079.74635839082
