Family,Taxon,site_code,year,block,plot,trt,num_leaves,leaf_pct_N,leaf_pct_C,leaf_N15_delta_air,leaf_C13_delta_PDB,leaf_N15_pct_atom,leaf_C13_pct_atom,leaf_area_mm2,leaf_dry_mass_g,SLA,leaf_ppm_P,leaf_ppm_B,leaf_ppm_Na,leaf_ppm_Ca,leaf_ppm_Fe,leaf_ppm_K,leaf_ppm_Mg,leaf_ppm_Mn,leaf_ppm_Cu,leaf_ppm_Zn,leaf_ppm_Sr,leaf_ppm_Pb,leaf_ppm_Mo
Poaceae,"BUCHLOE DACTYLOIDES",bldr.us,2011,2,13,K,5,2.24599376956099,45.4512046468151,1.74552277647824,-17.6634905252826,0.366930386440505,1.08628322140223,361.441,0.04,180.7205,3692.89375,28.7023065,48.678021,7549.4111,89.5157445,20777.92465,2281.6402,44.5192545,8.7947685,60.8816145,38.1106635,0.2817962,0.22543696
Poaceae,"BUCHLOE DACTYLOIDES",bldr.us,2011,2,14,P,5,1.89137776847356,46.2984755043314,1.88444442644041,-15.1735454900913,0.366981085451884,1.08900665700076,541.638,0.06,270.819,6493.2945,28.820505,102.688964,6120.5956,110.513326,10609.1867,2160.26468,52.895465,5.0048138,46.784129,38.311595,0.31760428,0.22246189
Poaceae,"BUCHLOE DACTYLOIDES",bldr.us,2011,2,15,NPK+Fence,5,2.05032117157004,45.7876887053975,0.618569473852974,-16.0351881540561,0.366519106533776,1.0880642321607,435.284,0.08,217.642,1297.86086,30.380338,141.668072,3626.4096,70.490626,10847.1772,1479.86816,121.544246,4.6268774,29.373002,22.619272,0.47436368,0.141874118
Poaceae,"BUCHLOE DACTYLOIDES",bldr.us,2011,2,16,PK,5,1.6842469587719,45.7246421844507,2.3623268128865,-15.5933731647807,0.367155486704794,1.08854747117731,483.049,0.05,241.5245,5299.5275,27.4578625,1366.72025,5123.48625,196.846125,11140.89625,2510.3025,37.3801875,5.6836175,41.015325,37.95175,0.34248025,0.283495
Poaceae,"BUCHLOE DACTYLOIDES",bldr.us,2011,2,17,NPK,5,2.52148844229381,43.5186510276488,-0.557772900440029,-15.5974365990645,0.366089798537921,1.08854302678196,599.482,0.08,299.741,3359.6668,27.678084,176.68714,4438.938,78.76939,12890.3278,1771.876085,27.56275865,7.1240603,29.7887555,30.3545025,0.19365955,1.317972915
Poaceae,"BUCHLOE DACTYLOIDES",bldr.us,2011,2,18,NK,5,2.65693031801424,46.9347829871568,-1.41554529323537,-16.1322246584241,0.365776750824373,1.0879580970012,331.034,0.03,165.517,1932.31395,32.657373,161.691075,7910.89425,166.7365875,13843.47825,2875.472775,33.389559,6.251742,36.8205075,48.06144,0.2572038,0.2487555
Poaceae,"BUCHLOE DACTYLOIDES",bldr.us,2011,2,19,Fence,5,1.88139172009018,47.8444253279623,1.08092226386786,-15.6494214202932,0.366687841897365,1.08848616816814,186.602,0.09,93.301,1621.9116,20.6135874,137.120904,3516.534,90.807912,9843.903,1179.11538,16.1664876,3.8610108,34.734744,24.149259,0.59398326,0.10717056
Poaceae,"ELYMUS SMITHII",bldr.us,2011,1,6,K,5,2.2438234522584,49.5336330122279,0.439630825960759,-27.7949376202773,0.366453802831953,1.07520016745125,642.931,0.19,321.4655,2624.113184,14.91567808,511.983424,4773.09624,100.8314104,22880.74528,1802.641328,45.4523984,4.49966856,32.8707624,32.2565408,0.291854328,NULL
Poaceae,"ELYMUS SMITHII",bldr.us,2011,1,8,NP,5,3.07460626075218,44.6381513861128,1.1797235106395,-15.9487810352174,0.366723899276902,1.08815874107563,1259.284,0.33,629.642,2537.22392,15.19120416,7088.5144,4672.70584,72.9027816,22115.45072,2458.66104,34.6033776,6.7671208,23.2831808,29.0504104,0.25979316,NULL
Poaceae,"ELYMUS SMITHII",bldr.us,2011,2,17,NPK,5,3.39861709397509,48.6504222555944,2.10455803415307,-28.6920475724621,0.367061415102655,1.07421867580213,1176.972,0.25,588.486,1793.413765,14.632202,175.87713,8011.37285,50.243687,18195.77305,1626.257815,73.500167,5.0001432,35.659936,45.0352045,0.10901475,1.031279535
