site_code,Family,local_name,standard_taxon,number_plots_observed,provenance,lifespan,lifeform,functional_group,photosynthetic_pathway
anti.ec,NULL,"Briophyta sp. 4","Bryophyte sp.",36,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 5","Bryophyte sp.",12,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 6","Bryophyte sp.",8,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 7","Bryophyte sp.",15,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 8","Bryophyte sp.",3,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 9","Bryophyte sp.",2,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Liquen sp. 1","Lichen sp.",17,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 2","Lichen sp.",1,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 3","Lichen sp.",1,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 4","Lichen sp.",4,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 5","Lichen sp.",2,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 7","Lichen sp.",2,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 8","Lichen sp.",3,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 9","Lichen sp.",23,NULL,NULL,NULL,NULL,NULL
anti.ec,Apiaceae,"Azorella aretioides","Azorella aretioides",29,NAT,PERENNIAL,CUSHION,FORB,NULL
anti.ec,Apiaceae,"Azorella pedunculata","Azorella pedunculata",5,NAT,PERENNIAL,CUSHION,FORB,NULL
anti.ec,Apiaceae,"Eryngium humile","Eryngium humile",1,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Apiaceae,"Oreomyrrhis andicola","Oreomyrrhis andicola",11,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Brassicaceae,"Draba obovata","Draba obovata",8,NAT,PERENNIAL,SHRUB,WOODY,NULL
anti.ec,Caprifoliaceae,"Valeriana alypifolia","Valeriana alypifolia",2,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Caprifoliaceae,"Valeriana aretioides","Aretiastrum aretioides",1,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Caprifoliaceae,"Valeriana rigida","Phyllactis rigida",2,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Caryophyllaceae,"Cerastium floccosum","Cerastium floccosum",9,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Caryophyllaceae,"Cerastium imbricatum","Cerastium imbricatum",10,NAT,PERENNIAL,HERB,WOODY,NULL
anti.ec,Caryophyllaceae,"Silene thysanodes","Silene thysanodes",4,NAT,ANNUAL,HERB,FORB,NULL
anti.ec,Compositae,"Aphanactis jamesoniana","Aphanactis jamesoniana",6,NAT,ANNUAL,HERB,FORB,NULL
anti.ec,Compositae,"Baccharis caespitosa","Baccharis caespitosa",45,NAT,PERENNIAL,SHRUB,WOODY,NULL
anti.ec,Compositae,"Baccharis caespitosa var. alpina","Baccharis alpina",30,NULL,NULL,NULL,NULL,NULL
anti.ec,Compositae,"Chuquiraga jussieui","Chuquiraga jussieui",2,NAT,PERENNIAL,SHRUB,WOODY,NULL
anti.ec,Compositae,"Cuatrecasasiella isernii","Cuatrecasasiella isernii",2,NULL,NULL,NULL,NULL,NULL
anti.ec,Compositae,"Erigeron ecuadoriensis","Erigeron ecuadoriensis",13,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Compositae,"Hypochaeris sessiliflora","Hypochaeris sessiliflora",45,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Compositae,"Lasiocephalus ovatus","Lasiocephalus ovatus",1,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Compositae,"Loricaria thuyoides","Loricaria thuyoides",17,NAT,PERENNIAL,SHRUB,WOODY,NULL
anti.ec,Compositae,"Lucilia kunthiana","Belloa kunthiana",10,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Compositae,"Oritrophium limnophilum","Oritrophium limnophilum",13,NAT,ANNUAL,HERB,NULL,NULL
anti.ec,Compositae,"Senecio nivalis","Senecio nivalis",1,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Compositae,"Werneria nubigena","Werneria nubigena",38,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Compositae,"Werneria pumila","Werneria pumila",3,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Compositae,"Xenophyllum humile","Xenophyllum humile",4,NAT,PERENNIAL,CUSHION,NULL,NULL
anti.ec,Cyperaceae,"Carex pygmaea","Carex pygmaea",22,NAT,ANNUAL,HERB,GRAMINOID,NULL
anti.ec,Dryopteridaceae,"Elaphoglossum sp. 1","Elaphoglossum sp.",9,NULL,NULL,NULL,NULL,NULL
anti.ec,Ephedraceae,"Ephedra rupestris","Ephedra rupestris",5,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Ericaceae,"Pernettya prostrata","Gaultheria myrsinoides",17,NAT,PERENNIAL,SHRUB,WOODY,NULL
anti.ec,Eriocaulaceae,"Paepalanthus lodiculoides","Paepalanthus lodiculoides",1,NAT,ANNUAL,HERB,NULL,NULL
anti.ec,Fabaceae,"Lupinus microphyllus","Lupinus microphyllus",29,NAT,PERENNIAL,SHRUB,LEGUME,NULL
anti.ec,Gentianaceae,"Gentiana sedifolia","Gentiana sedifolia",36,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Gentianaceae,"Gentianella nummulariifolia","Gentianella nummularifolia",7,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Gentianaceae,"Gentianella rupicola","Gentianella rupicola",13,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Geraniaceae,"Geranium humboldtii","Geranium humboldtii",19,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Geraniaceae,"Geranium maniculatum","Geranium maniculatum",26,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Juncaceae,"Luzula racemosa","Luzula racemosa",12,NAT,ANNUAL,HERB,GRAMINOID,NULL
anti.ec,Lycopodiaceae,"Huperzia crassa","Huperzia crassa",6,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Malvaceae,"Nototriche ecuadoriensis","Nototriche ecuadoriensis",3,NAT,PERENNIAL,SHRUB,WOODY,NULL
anti.ec,Malvaceae,"Nototriche phyllanthos","Nototriche phyllanthos",1,NAT,PERENNIAL,SHRUB,FORB,NULL
anti.ec,Orchidaceae,"Myrosmodes sp. 1","Myrosmodes sp.",1,NULL,NULL,NULL,NULL,NULL
anti.ec,Orobanchaceae,"Bartsia laticrenata","Bartsia laticrenata",32,NAT,ANNUAL,HERB,NULL,NULL
anti.ec,Plantaginaceae,"Ourisia muscosa","Ourisia muscosa",1,NAT,PERENNIAL,HERB,NULL,NULL
anti.ec,Plantaginaceae,"Plantago rigida","Plantago rigida",24,NAT,PERENNIAL,CUSHION,FORB,NULL
anti.ec,Plantaginaceae,"Plantago sericea","Plantago sericea",2,NAT,PERENNIAL,HERB,FORB,NULL
anti.ec,Poaceae,"Agrostis breviculmis","Agrostis breviculmis",11,NAT,PERENNIAL,GRASS,GRASS,C3
anti.ec,Poaceae,"Bromus lanatus","Bromus lanatus",6,NAT,PERENNIAL,GRASS,GRASS,C3
anti.ec,Poaceae,"Calamagrostis intermedia","Calamagrostis intermedia",31,NAT,PERENNIAL,GRASS,GRASS,C3
anti.ec,Poaceae,"Cortaderia sericantha","Cortaderia sericantha",2,NAT,PERENNIAL,GRASS,GRASS,C3
anti.ec,Poaceae,"Festuca chimborazensis","Festuca chimborazensis",22,NAT,PERENNIAL,GRASS,GRASS,C3
