"","site_code","plot","block","trt","Ntrt","Ptrt","Ktrt","narea_mean","chi_mean","tmp_mean","vpd_mean","z_mean","lma_mean","par_per_leaf_area_mean","par_mean","lai_mean","p_pet_mean","live_mass_mean"
"1","bldr.us",1,1,"P",0,1,0,9.24771038507472,0.715519937086128,10.5985678854875,0.675387221216074,2135,511.914955060298,466.89161398859,906.773360415002,0.187393849049405,0.380796687397111,58
"2","bldr.us",2,1,"Fence",0,0,0,6.82609512016859,1,10.5985678854875,0.675387221216074,2135,401.008003940663,442.889309684047,906.773360415002,0.403832563013837,0.380796687397111,99
"3","bldr.us",3,1,"N",1,0,0,11.1443324603601,1,10.5985678854875,0.675387221216074,2135,403.375247027063,409.888357427659,906.773360415002,0.728892428997293,0.380796687397111,125
"4","bldr.us",4,1,"NK",1,0,1,3.68379523007327,1,10.5985678854875,0.675387221216074,2135,123.908367284226,412.153845421588,906.773360415002,0.705446743634802,0.380796687397111,151.5
"5","bldr.us",5,1,"PK",0,1,1,10.7591132830501,1,10.5985678854875,0.675387221216074,2135,456.933935133064,450.365960249426,906.773360415002,0.334745185871296,0.380796687397111,58.5
"6","bldr.us",6,1,"K",0,0,1,9.00587759149619,0.902077679032242,10.5985678854875,0.675387221216074,2135,473.668642789719,474.470750102696,906.773360415002,0.122141025367824,0.380796687397111,59
"7","bldr.us",7,1,"NPK",1,1,1,9.1987512055569,1,10.5985678854875,0.675387221216074,2135,396.995929300628,411.207327338813,906.773360415002,0.715220726587479,0.380796687397111,147.5
"8","bldr.us",8,1,"NP",1,1,0,6.26739058636556,0.720908688101718,10.5985678854875,0.675387221216074,2135,226.593390994163,426.86548183558,906.773360415002,0.557379916714275,0.380796687397111,354
"9","bldr.us",9,1,"NPK+Fence",1,1,1,5.37973730076204,0.867187709228658,10.5985678854875,0.675387221216074,2135,148.232669609185,403.893193846794,906.773360415002,0.791806652249507,0.380796687397111,248.5
"10","bldr.us",10,1,"Control",0,0,0,9.19876596545093,1,10.5985678854875,0.675387221216074,2135,510.994321245991,421.757827973539,906.773360415002,0.607984229907109,0.380796687397111,138.5
"11","bldr.us",11,2,"N",1,0,0,4.72157884612345,0.915309518505028,10.5985678854875,0.675387221216074,2135,173.46086556768,418.763499244922,906.773360415002,0.638042097000779,0.380796687397111,161
"12","bldr.us",12,2,"Control",0,0,0,6.28654252304925,1,10.5985678854875,0.675387221216074,2135,290.784339732972,450.439798112389,906.773360415002,0.334070647568084,0.380796687397111,52
"13","bldr.us",13,2,"K",0,0,1,7.17611740378415,1,10.5985678854875,0.675387221216074,2135,328.046806552394,433.465522479038,906.773360415002,0.493200439843016,0.380796687397111,166.5
"14","bldr.us",14,2,"P",0,1,0,6.875141144296,0.910661760845077,10.5985678854875,0.675387221216074,2135,250.708683641407,460.466154556853,906.773360415002,0.243838997453621,0.380796687397111,174
"15","bldr.us",15,2,"NPK+Fence",1,1,1,5.04787235005415,0.908782660843166,10.5985678854875,0.675387221216074,2135,202.188858197671,371.064049670707,906.773360415002,1.1608086708632,0.380796687397111,317.5
"16","bldr.us",16,2,"PK",0,1,1,3.98124498024827,0.905269365676859,10.5985678854875,0.675387221216074,2135,294.91833346563,464.782426315953,906.773360415002,0.205806440536943,0.380796687397111,228.5
"17","bldr.us",17,2,"NPK",1,1,1,5.85988985938204,0.915977615980602,10.5985678854875,0.675387221216074,2135,209.395310464487,395.835080834297,906.773360415002,0.878428698021063,0.380796687397111,135
"18","bldr.us",18,2,"NK",1,0,1,9.15469932579257,0.929656238103415,10.5985678854875,0.675387221216074,2135,297.868801607661,440.215742562142,906.773360415002,0.428922271082904,0.380796687397111,117
"19","bldr.us",19,2,"Fence",0,0,0,9.25562738844772,0.917178574524852,10.5985678854875,0.675387221216074,2135,452.293556155943,458.871960990982,906.773360415002,0.258007739163427,0.380796687397111,95
"20","bnch.us",1,1,"NK",1,0,1,41.2517673831054,0.70480737711356,8.37928758245723,0.463037439934633,1444,1436.65492784345,NA,791.367222546588,NA,1.58400338180986,256.9
"21","bnch.us",2,1,"K",0,0,1,20.3297675487805,0.756506613979026,8.37928758245723,0.463037439934633,1444,1034.00805456148,NA,791.367222546588,NA,1.58400338180986,211.900005
"22","bnch.us",3,1,"PK",0,1,1,19.7260900071683,0.73748917423122,8.37928758245723,0.463037439934633,1444,990.414621068284,NA,791.367222546588,NA,1.58400338180986,274.500005
"23","bnch.us",4,1,"N",1,0,0,24.3662635272715,0.750708410971398,8.37928758245723,0.463037439934633,1444,866.15235471598,NA,791.367222546588,NA,1.58400338180986,98.85
"24","bnch.us",5,1,"NPK",1,1,1,2.60434020328705,0.74646640111,8.37928758245723,0.463037439934633,1444,63.9641902822046,NA,791.367222546588,NA,1.58400338180986,224.3
"25","bnch.us",6,1,"NP",1,1,0,8.73012484172092,0.78592740040445,8.37928758245723,0.463037439934633,1444,242.802543050962,NA,791.367222546588,NA,1.58400338180986,188.149995
"26","bnch.us",7,1,"Control",0,0,0,4.10271234515604,0.741701004110896,8.37928758245723,0.463037439934633,1444,169.475381423648,NA,791.367222546588,NA,1.58400338180986,96.45
"27","bnch.us",8,1,"P",0,1,0,7.59178762518139,0.727929528004342,8.37928758245723,0.463037439934633,1444,262.357506649294,NA,791.367222546588,NA,1.58400338180986,113.55
"28","bnch.us",9,1,"NPK+Fence",1,1,1,1.8852561532021,0.761921609890215,8.37928758245723,0.463037439934633,1444,57.1972126149022,NA,791.367222546588,NA,1.58400338180986,225.349995
